Date,Time,Quantity of Steps,Weekday,Moment of the day
11/3/2020,10:03:16 AM,65,Tuesday,Morning
11/3/2020,10:03:16 AM,69,Tuesday,Morning
11/3/2020,10:03:16 AM,63,Tuesday,Morning
11/3/2020,10:03:16 AM,54,Tuesday,Morning
11/3/2020,10:03:16 AM,83,Tuesday,Morning
11/3/2020,10:03:16 AM,73,Tuesday,Morning
11/3/2020,10:03:16 AM,64,Tuesday,Morning
11/5/2020,8:15:37 AM,64,Thursday,Morning
11/5/2020,8:15:37 AM,57,Thursday,Morning
11/5/2020,8:15:37 AM,72,Thursday,Morning
11/5/2020,8:15:37 AM,73,Thursday,Morning
11/5/2020,8:15:37 AM,75,Thursday,Morning
11/5/2020,8:15:37 AM,72,Thursday,Morning
11/5/2020,8:15:37 AM,53,Thursday,Morning
11/5/2020,8:15:37 AM,63,Thursday,Morning
11/5/2020,8:15:37 AM,64,Thursday,Morning
11/5/2020,8:15:37 AM,41,Thursday,Morning
11/5/2020,8:15:37 AM,81,Thursday,Morning
11/5/2020,8:15:37 AM,89,Thursday,Morning
11/5/2020,8:15:37 AM,66,Thursday,Morning
11/5/2020,8:15:37 AM,84,Thursday,Morning
11/5/2020,8:15:37 AM,86,Thursday,Morning
11/5/2020,8:15:37 AM,77,Thursday,Morning
11/5/2020,8:15:37 AM,83,Thursday,Morning
11/5/2020,8:15:37 AM,93,Thursday,Morning
11/5/2020,8:15:37 AM,91,Thursday,Morning
11/5/2020,8:15:37 AM,92,Thursday,Morning
11/5/2020,8:15:37 AM,95,Thursday,Morning
11/5/2020,8:15:37 AM,95,Thursday,Morning
11/5/2020,8:15:37 AM,90,Thursday,Morning
11/5/2020,8:15:37 AM,74,Thursday,Morning
11/5/2020,9:51:33 AM,66,Thursday,Morning
11/5/2020,10:52:42 PM,71,Thursday,Night
11/5/2020,10:52:42 PM,71,Thursday,Night
11/5/2020,10:52:42 PM,70,Thursday,Night
11/5/2020,10:52:42 PM,68,Thursday,Night
11/5/2020,10:52:42 PM,71,Thursday,Night
11/5/2020,10:52:42 PM,54,Thursday,Night
11/5/2020,10:52:42 PM,65,Thursday,Night
11/5/2020,10:52:42 PM,54,Thursday,Night
11/5/2020,10:52:42 PM,56,Thursday,Night
11/5/2020,10:52:42 PM,97,Thursday,Night
11/7/2020,10:47:03 AM,83,Saturday,Morning
11/7/2020,10:47:03 AM,61,Saturday,Morning
11/7/2020,10:47:03 AM,61,Saturday,Morning
11/7/2020,10:47:03 AM,92,Saturday,Morning
11/7/2020,10:47:03 AM,86,Saturday,Morning
11/7/2020,1:15:51 PM,91,Saturday,Afternoon
11/7/2020,1:15:51 PM,110,Saturday,Afternoon
11/7/2020,1:15:51 PM,53,Saturday,Afternoon
11/7/2020,1:15:51 PM,54,Saturday,Afternoon
11/7/2020,1:15:51 PM,57,Saturday,Afternoon
11/8/2020,12:45:50 AM,73,Sunday,Morning
11/8/2020,12:45:50 AM,74,Sunday,Morning
11/8/2020,12:45:50 AM,70,Sunday,Morning
11/8/2020,12:45:50 AM,71,Sunday,Morning
11/8/2020,12:45:50 AM,62,Sunday,Morning
11/8/2020,12:45:50 AM,75,Sunday,Morning
11/8/2020,12:45:50 AM,66,Sunday,Morning
11/8/2020,12:45:50 AM,79,Sunday,Morning
11/8/2020,12:45:50 AM,78,Sunday,Morning
11/8/2020,12:45:50 AM,97,Sunday,Morning
11/8/2020,12:45:50 AM,76,Sunday,Morning
11/8/2020,12:45:50 AM,83,Sunday,Morning
11/8/2020,12:45:50 AM,77,Sunday,Morning
11/9/2020,4:16:30 AM,86,Monday,Morning
11/9/2020,4:16:30 AM,74,Monday,Morning
11/9/2020,4:16:30 AM,97,Monday,Morning
11/9/2020,4:16:30 AM,78,Monday,Morning
11/9/2020,4:16:30 AM,88,Monday,Morning
11/9/2020,4:16:30 AM,89,Monday,Morning
11/9/2020,4:16:30 AM,76,Monday,Morning
11/10/2020,8:47:20 AM,101,Tuesday,Morning
11/10/2020,8:47:20 AM,52,Tuesday,Morning
11/10/2020,8:47:20 AM,58,Tuesday,Morning
11/10/2020,8:47:20 AM,65,Tuesday,Morning
11/10/2020,8:47:20 AM,49,Tuesday,Morning
11/10/2020,8:47:20 AM,78,Tuesday,Morning
11/10/2020,8:47:20 AM,80,Tuesday,Morning
11/10/2020,8:47:20 AM,88,Tuesday,Morning
11/10/2020,2:16:44 PM,62,Tuesday,Afternoon
11/10/2020,2:16:44 PM,60,Tuesday,Afternoon
11/11/2020,1:07:07 AM,85,Wednesday,Morning
11/11/2020,1:07:07 AM,78,Wednesday,Morning
11/11/2020,1:07:07 AM,82,Wednesday,Morning
11/11/2020,1:07:07 AM,83,Wednesday,Morning
11/11/2020,1:07:07 AM,86,Wednesday,Morning
11/11/2020,1:07:07 AM,92,Wednesday,Morning
11/11/2020,1:07:07 AM,78,Wednesday,Morning
11/12/2020,2:07:43 PM,79,Thursday,Afternoon
11/12/2020,2:07:43 PM,100,Thursday,Afternoon
11/13/2020,4:33:26 PM,114,Friday,Afternoon
11/13/2020,4:33:26 PM,114,Friday,Afternoon
11/13/2020,4:33:26 PM,93,Friday,Afternoon
11/13/2020,4:33:26 PM,80,Friday,Afternoon
11/13/2020,4:33:26 PM,99,Friday,Afternoon
11/13/2020,4:33:26 PM,97,Friday,Afternoon
11/13/2020,4:33:26 PM,81,Friday,Afternoon
11/13/2020,4:33:26 PM,83,Friday,Afternoon
11/13/2020,4:33:26 PM,81,Friday,Afternoon
11/13/2020,4:33:26 PM,85,Friday,Afternoon
11/13/2020,6:56:27 PM,59,Friday,Evening
11/13/2020,6:56:27 PM,98,Friday,Evening
11/13/2020,6:56:27 PM,100,Friday,Evening
11/13/2020,6:56:27 PM,94,Friday,Evening
11/13/2020,6:56:27 PM,70,Friday,Evening
11/13/2020,6:56:27 PM,71,Friday,Evening
11/13/2020,6:56:27 PM,55,Friday,Evening
11/13/2020,6:56:27 PM,73,Friday,Evening
11/13/2020,6:56:27 PM,74,Friday,Evening
11/13/2020,6:56:27 PM,71,Friday,Evening
11/13/2020,6:56:27 PM,69,Friday,Evening
11/13/2020,6:56:27 PM,76,Friday,Evening
11/14/2020,9:06:21 AM,88,Saturday,Morning
11/14/2020,9:06:21 AM,91,Saturday,Morning
11/14/2020,9:06:21 AM,89,Saturday,Morning
11/14/2020,9:06:21 AM,92,Saturday,Morning
11/14/2020,9:06:21 AM,89,Saturday,Morning
11/15/2020,5:16:35 PM,77,Sunday,Afternoon
11/15/2020,5:16:35 PM,85,Sunday,Afternoon
11/15/2020,5:16:35 PM,86,Sunday,Afternoon
11/15/2020,5:16:35 PM,86,Sunday,Afternoon
11/15/2020,5:16:35 PM,89,Sunday,Afternoon
11/15/2020,5:16:35 PM,83,Sunday,Afternoon
11/15/2020,5:16:35 PM,92,Sunday,Afternoon
11/15/2020,5:16:35 PM,79,Sunday,Afternoon
11/15/2020,5:16:35 PM,92,Sunday,Afternoon
11/15/2020,5:16:35 PM,91,Sunday,Afternoon
11/15/2020,5:16:35 PM,83,Sunday,Afternoon
11/15/2020,5:16:35 PM,89,Sunday,Afternoon
11/15/2020,5:16:35 PM,91,Sunday,Afternoon
11/15/2020,5:16:35 PM,97,Sunday,Afternoon
11/15/2020,5:16:35 PM,91,Sunday,Afternoon
11/15/2020,5:16:35 PM,76,Sunday,Afternoon
11/15/2020,5:16:35 PM,96,Sunday,Afternoon
11/15/2020,5:16:35 PM,98,Sunday,Afternoon
11/15/2020,5:16:35 PM,87,Sunday,Afternoon
11/15/2020,5:16:35 PM,102,Sunday,Afternoon
11/15/2020,5:16:35 PM,93,Sunday,Afternoon
11/15/2020,5:16:35 PM,74,Sunday,Afternoon
11/15/2020,5:16:35 PM,91,Sunday,Afternoon
11/16/2020,9:13:48 AM,85,Monday,Morning
11/16/2020,9:13:48 AM,96,Monday,Morning
11/17/2020,8:38:21 PM,74,Tuesday,Evening
11/17/2020,8:38:21 PM,101,Tuesday,Evening
11/17/2020,8:38:21 PM,82,Tuesday,Evening
11/17/2020,8:38:21 PM,98,Tuesday,Evening
11/17/2020,8:38:21 PM,103,Tuesday,Evening
11/17/2020,8:38:21 PM,88,Tuesday,Evening
11/17/2020,8:38:21 PM,94,Tuesday,Evening
11/17/2020,8:38:21 PM,94,Tuesday,Evening
11/17/2020,8:38:21 PM,94,Tuesday,Evening
11/17/2020,8:38:21 PM,92,Tuesday,Evening
11/17/2020,8:38:21 PM,93,Tuesday,Evening
11/17/2020,8:38:21 PM,93,Tuesday,Evening
11/18/2020,9:14:23 AM,93,Wednesday,Morning
11/19/2020,9:28:16 AM,64,Thursday,Morning
11/19/2020,9:28:16 AM,75,Thursday,Morning
11/19/2020,9:28:16 AM,72,Thursday,Morning
11/19/2020,9:28:16 AM,113,Thursday,Morning
11/19/2020,9:28:16 AM,92,Thursday,Morning
11/19/2020,9:28:16 AM,96,Thursday,Morning
11/19/2020,9:28:16 AM,98,Thursday,Morning
11/19/2020,9:28:16 AM,69,Thursday,Morning
11/19/2020,9:28:16 AM,68,Thursday,Morning
11/19/2020,9:28:16 AM,94,Thursday,Morning
11/19/2020,9:28:16 AM,92,Thursday,Morning
11/19/2020,9:28:16 AM,102,Thursday,Morning
11/19/2020,9:28:16 AM,98,Thursday,Morning
11/19/2020,9:28:16 AM,98,Thursday,Morning
11/19/2020,9:28:16 AM,94,Thursday,Morning
11/19/2020,9:28:16 AM,94,Thursday,Morning
11/19/2020,9:28:16 AM,68,Thursday,Morning
11/20/2020,2:40:01 AM,95,Friday,Morning
11/20/2020,2:40:01 AM,83,Friday,Morning
11/20/2020,2:40:01 AM,108,Friday,Morning
11/20/2020,2:40:01 AM,95,Friday,Morning
11/20/2020,2:40:01 AM,84,Friday,Morning
11/20/2020,2:40:01 AM,93,Friday,Morning
11/20/2020,2:40:01 AM,95,Friday,Morning
11/20/2020,2:40:01 AM,96,Friday,Morning
11/20/2020,2:40:01 AM,93,Friday,Morning
11/20/2020,2:40:01 AM,93,Friday,Morning
11/20/2020,2:40:01 AM,93,Friday,Morning
11/20/2020,2:40:01 AM,97,Friday,Morning
11/20/2020,2:40:01 AM,94,Friday,Morning
11/20/2020,2:40:01 AM,92,Friday,Morning
11/20/2020,2:40:01 AM,87,Friday,Morning
11/20/2020,2:40:01 AM,86,Friday,Morning
11/22/2020,7:17:10 AM,52,Sunday,Morning
11/22/2020,7:17:10 AM,63,Sunday,Morning
11/22/2020,7:17:10 AM,63,Sunday,Morning
11/22/2020,7:17:10 AM,60,Sunday,Morning
11/22/2020,7:17:10 AM,63,Sunday,Morning
11/22/2020,7:17:10 AM,70,Sunday,Morning
11/22/2020,7:17:10 AM,56,Sunday,Morning
11/22/2020,7:17:10 AM,48,Sunday,Morning
11/22/2020,7:17:10 AM,67,Sunday,Morning
11/22/2020,7:17:10 AM,77,Sunday,Morning
11/22/2020,7:17:10 AM,79,Sunday,Morning
11/22/2020,7:17:10 AM,80,Sunday,Morning
11/22/2020,7:17:10 AM,80,Sunday,Morning
11/22/2020,7:17:10 AM,80,Sunday,Morning
11/22/2020,7:17:10 AM,79,Sunday,Morning
11/22/2020,7:17:10 AM,78,Sunday,Morning
11/22/2020,7:17:10 AM,71,Sunday,Morning
11/22/2020,7:17:10 AM,64,Sunday,Morning
11/22/2020,7:17:10 AM,64,Sunday,Morning
11/22/2020,7:17:10 AM,59,Sunday,Morning
11/22/2020,7:17:10 AM,70,Sunday,Morning
11/22/2020,7:17:10 AM,49,Sunday,Morning
11/22/2020,7:17:10 AM,67,Sunday,Morning
11/22/2020,7:17:10 AM,64,Sunday,Morning
11/22/2020,7:17:10 AM,81,Sunday,Morning
11/22/2020,7:17:10 AM,57,Sunday,Morning
11/22/2020,7:17:10 AM,69,Sunday,Morning
11/22/2020,7:17:10 AM,60,Sunday,Morning
11/22/2020,7:17:10 AM,64,Sunday,Morning
11/22/2020,7:17:10 AM,74,Sunday,Morning
11/22/2020,7:17:10 AM,51,Sunday,Morning
11/22/2020,7:17:10 AM,57,Sunday,Morning
11/22/2020,7:17:10 AM,66,Sunday,Morning
11/22/2020,7:17:10 AM,66,Sunday,Morning
11/22/2020,7:17:10 AM,69,Sunday,Morning
11/22/2020,7:17:10 AM,50,Sunday,Morning
11/22/2020,7:17:10 AM,57,Sunday,Morning
11/22/2020,7:17:10 AM,65,Sunday,Morning
11/22/2020,7:17:10 AM,51,Sunday,Morning
11/22/2020,7:17:10 AM,51,Sunday,Morning
11/22/2020,7:17:10 AM,62,Sunday,Morning
11/22/2020,7:17:10 AM,50,Sunday,Morning
11/22/2020,7:17:10 AM,52,Sunday,Morning
11/22/2020,7:17:10 AM,58,Sunday,Morning
11/22/2020,11:23:29 PM,55,Sunday,Night
11/22/2020,11:23:29 PM,99,Sunday,Night
11/22/2020,11:23:29 PM,48,Sunday,Night
11/22/2020,11:23:29 PM,50,Sunday,Night
11/22/2020,11:23:29 PM,54,Sunday,Night
11/22/2020,11:23:29 PM,53,Sunday,Night
11/22/2020,11:23:29 PM,77,Sunday,Night
11/22/2020,11:23:29 PM,74,Sunday,Night
11/22/2020,11:23:29 PM,81,Sunday,Night
11/22/2020,11:23:29 PM,77,Sunday,Night
11/22/2020,11:23:29 PM,71,Sunday,Night
11/22/2020,11:23:29 PM,85,Sunday,Night
11/22/2020,11:23:29 PM,86,Sunday,Night
11/22/2020,11:23:29 PM,90,Sunday,Night
11/22/2020,11:23:29 PM,84,Sunday,Night
11/22/2020,11:23:29 PM,99,Sunday,Night
11/22/2020,11:23:29 PM,89,Sunday,Night
11/22/2020,11:23:29 PM,91,Sunday,Night
11/22/2020,11:23:29 PM,92,Sunday,Night
11/22/2020,11:23:29 PM,73,Sunday,Night
11/22/2020,11:23:29 PM,62,Sunday,Night
11/22/2020,11:23:29 PM,66,Sunday,Night
11/22/2020,11:23:29 PM,56,Sunday,Night
11/22/2020,11:23:29 PM,58,Sunday,Night
11/22/2020,11:23:29 PM,49,Sunday,Night
11/22/2020,11:23:29 PM,61,Sunday,Night
11/23/2020,11:53:32 PM,64,Monday,Night
11/23/2020,11:53:32 PM,88,Monday,Night
11/23/2020,11:53:32 PM,80,Monday,Night
11/23/2020,11:53:32 PM,71,Monday,Night
11/23/2020,11:53:32 PM,59,Monday,Night
11/23/2020,11:53:32 PM,52,Monday,Night
11/23/2020,11:53:32 PM,61,Monday,Night
11/23/2020,11:53:32 PM,57,Monday,Night
11/23/2020,11:53:32 PM,58,Monday,Night
11/23/2020,11:53:32 PM,68,Monday,Night
11/23/2020,11:53:32 PM,46,Monday,Night
11/23/2020,11:53:32 PM,43,Monday,Night
11/23/2020,11:53:32 PM,54,Monday,Night
11/23/2020,11:53:32 PM,59,Monday,Night
11/23/2020,11:53:32 PM,59,Monday,Night
11/23/2020,11:53:32 PM,50,Monday,Night
11/23/2020,11:53:32 PM,49,Monday,Night
11/23/2020,11:53:32 PM,50,Monday,Night
11/23/2020,11:53:32 PM,53,Monday,Night
11/23/2020,11:53:32 PM,52,Monday,Night
11/23/2020,11:53:32 PM,70,Monday,Night
11/23/2020,11:53:32 PM,66,Monday,Night
11/23/2020,11:53:32 PM,47,Monday,Night
11/23/2020,11:53:32 PM,64,Monday,Night
11/23/2020,11:53:32 PM,60,Monday,Night
11/23/2020,11:53:32 PM,50,Monday,Night
11/23/2020,11:53:32 PM,94,Monday,Night
11/24/2020,7:10:29 PM,68,Tuesday,Evening
11/24/2020,7:10:29 PM,72,Tuesday,Evening
11/24/2020,7:10:29 PM,71,Tuesday,Evening
11/24/2020,7:10:29 PM,71,Tuesday,Evening
11/24/2020,11:13:46 PM,68,Tuesday,Night
11/24/2020,11:13:46 PM,71,Tuesday,Night
11/24/2020,11:13:46 PM,75,Tuesday,Night
11/24/2020,11:13:46 PM,71,Tuesday,Night
11/24/2020,11:13:46 PM,75,Tuesday,Night
11/24/2020,11:13:46 PM,88,Tuesday,Night
11/24/2020,11:13:46 PM,68,Tuesday,Night
11/24/2020,11:13:46 PM,69,Tuesday,Night
11/24/2020,11:13:46 PM,72,Tuesday,Night
11/24/2020,11:13:46 PM,70,Tuesday,Night
11/24/2020,11:13:46 PM,76,Tuesday,Night
11/24/2020,11:13:46 PM,74,Tuesday,Night
11/24/2020,11:13:46 PM,73,Tuesday,Night
11/24/2020,11:13:46 PM,84,Tuesday,Night
11/24/2020,11:13:46 PM,97,Tuesday,Night
11/26/2020,1:55:35 AM,79,Thursday,Morning
11/26/2020,1:55:35 AM,76,Thursday,Morning
11/26/2020,1:55:35 AM,75,Thursday,Morning
11/26/2020,1:55:35 AM,81,Thursday,Morning
11/26/2020,1:55:35 AM,74,Thursday,Morning
11/26/2020,1:55:35 AM,66,Thursday,Morning
11/26/2020,1:55:35 AM,74,Thursday,Morning
11/26/2020,1:55:35 AM,71,Thursday,Morning
11/26/2020,1:55:35 AM,70,Thursday,Morning
11/26/2020,1:55:35 AM,77,Thursday,Morning
11/26/2020,1:55:35 AM,75,Thursday,Morning
11/26/2020,1:55:35 AM,45,Thursday,Morning
11/26/2020,1:55:35 AM,49,Thursday,Morning
11/26/2020,1:55:35 AM,56,Thursday,Morning
11/26/2020,1:55:35 AM,52,Thursday,Morning
11/26/2020,1:55:35 AM,54,Thursday,Morning
11/26/2020,1:55:35 AM,52,Thursday,Morning
11/26/2020,1:55:35 AM,43,Thursday,Morning
11/26/2020,1:55:35 AM,47,Thursday,Morning
11/26/2020,1:55:35 AM,50,Thursday,Morning
11/27/2020,12:02:54 AM,66,Friday,Morning
11/27/2020,12:02:54 AM,58,Friday,Morning
11/27/2020,12:02:54 AM,69,Friday,Morning
11/27/2020,12:02:54 AM,65,Friday,Morning
11/27/2020,12:02:54 AM,65,Friday,Morning
11/27/2020,12:02:54 AM,64,Friday,Morning
11/27/2020,12:02:54 AM,71,Friday,Morning
11/27/2020,12:02:54 AM,73,Friday,Morning
11/27/2020,12:02:54 AM,91,Friday,Morning
11/27/2020,12:02:54 AM,90,Friday,Morning
11/27/2020,12:02:54 AM,88,Friday,Morning
11/27/2020,12:02:54 AM,86,Friday,Morning
11/27/2020,12:02:54 AM,81,Friday,Morning
11/27/2020,12:02:54 AM,91,Friday,Morning
11/27/2020,9:23:05 AM,55,Friday,Morning
11/27/2020,10:50:48 PM,73,Friday,Night
11/27/2020,10:50:48 PM,61,Friday,Night
11/27/2020,10:50:48 PM,63,Friday,Night
11/27/2020,10:50:48 PM,61,Friday,Night
11/27/2020,10:50:48 PM,61,Friday,Night
11/27/2020,10:50:48 PM,63,Friday,Night
11/27/2020,10:50:48 PM,56,Friday,Night
11/27/2020,10:50:48 PM,55,Friday,Night
11/27/2020,10:50:48 PM,66,Friday,Night
11/27/2020,10:50:48 PM,82,Friday,Night
11/27/2020,10:50:48 PM,71,Friday,Night
11/27/2020,10:50:48 PM,72,Friday,Night
11/27/2020,10:50:48 PM,83,Friday,Night
11/27/2020,10:50:48 PM,60,Friday,Night
11/27/2020,10:50:48 PM,62,Friday,Night
11/27/2020,10:50:48 PM,80,Friday,Night
11/27/2020,10:50:48 PM,57,Friday,Night
11/27/2020,10:50:48 PM,69,Friday,Night
11/27/2020,10:50:48 PM,71,Friday,Night
11/27/2020,10:50:48 PM,72,Friday,Night
11/27/2020,10:50:48 PM,58,Friday,Night
11/27/2020,10:50:48 PM,70,Friday,Night
11/27/2020,10:50:48 PM,64,Friday,Night
11/27/2020,10:50:48 PM,61,Friday,Night
11/29/2020,11:38:02 AM,68,Sunday,Morning
11/29/2020,11:38:02 AM,55,Sunday,Morning
11/29/2020,11:38:02 AM,64,Sunday,Morning
11/29/2020,11:38:02 AM,81,Sunday,Morning
11/29/2020,11:38:02 AM,51,Sunday,Morning
11/29/2020,11:38:02 AM,51,Sunday,Morning
11/29/2020,11:38:02 AM,59,Sunday,Morning
11/29/2020,10:26:06 PM,50,Sunday,Night
11/30/2020,11:06:41 PM,65,Monday,Night
12/2/2020,7:16:30 AM,82,Wednesday,Morning
12/2/2020,7:16:30 AM,72,Wednesday,Morning
12/2/2020,7:16:30 AM,72,Wednesday,Morning
12/2/2020,7:16:30 AM,69,Wednesday,Morning
12/2/2020,7:16:30 AM,69,Wednesday,Morning
12/2/2020,7:16:30 AM,73,Wednesday,Morning
12/2/2020,7:16:30 AM,68,Wednesday,Morning
12/2/2020,7:16:30 AM,66,Wednesday,Morning
12/2/2020,7:16:30 AM,66,Wednesday,Morning
12/2/2020,7:16:30 AM,52,Wednesday,Morning
12/2/2020,7:16:30 AM,73,Wednesday,Morning
12/2/2020,7:16:30 AM,78,Wednesday,Morning
12/2/2020,7:16:30 AM,80,Wednesday,Morning
12/2/2020,7:16:30 AM,68,Wednesday,Morning
12/2/2020,7:16:30 AM,74,Wednesday,Morning
12/2/2020,7:16:30 AM,83,Wednesday,Morning
12/2/2020,7:16:30 AM,78,Wednesday,Morning
12/2/2020,7:16:30 AM,72,Wednesday,Morning
12/2/2020,7:16:30 AM,91,Wednesday,Morning
12/2/2020,7:16:30 AM,74,Wednesday,Morning
12/2/2020,7:16:30 AM,75,Wednesday,Morning
12/2/2020,7:16:30 AM,73,Wednesday,Morning
12/2/2020,7:16:30 AM,80,Wednesday,Morning
12/2/2020,7:16:30 AM,70,Wednesday,Morning
12/2/2020,7:16:30 AM,76,Wednesday,Morning
12/2/2020,7:16:30 AM,94,Wednesday,Morning
12/2/2020,7:16:30 AM,87,Wednesday,Morning
12/2/2020,7:16:30 AM,87,Wednesday,Morning
12/2/2020,7:16:30 AM,70,Wednesday,Morning
12/2/2020,7:16:30 AM,76,Wednesday,Morning
12/4/2020,12:50:33 AM,66,Friday,Morning
12/4/2020,12:50:33 AM,66,Friday,Morning
12/4/2020,12:50:33 AM,68,Friday,Morning
12/4/2020,12:50:33 AM,82,Friday,Morning
12/4/2020,12:50:33 AM,94,Friday,Morning
12/4/2020,12:50:33 AM,85,Friday,Morning
12/4/2020,12:50:33 AM,95,Friday,Morning
12/4/2020,12:50:33 AM,91,Friday,Morning
12/4/2020,12:50:33 AM,79,Friday,Morning
12/4/2020,12:50:33 AM,97,Friday,Morning
12/4/2020,12:50:33 AM,92,Friday,Morning
12/4/2020,12:50:33 AM,79,Friday,Morning
12/4/2020,12:50:33 AM,76,Friday,Morning
12/4/2020,12:50:33 AM,49,Friday,Morning
12/4/2020,12:50:33 AM,63,Friday,Morning
12/4/2020,12:50:33 AM,66,Friday,Morning
12/5/2020,1:11:42 AM,74,Saturday,Morning
12/5/2020,1:11:42 AM,73,Saturday,Morning
12/5/2020,1:11:42 AM,74,Saturday,Morning
12/5/2020,1:11:42 AM,59,Saturday,Morning
12/5/2020,1:11:42 AM,56,Saturday,Morning
12/5/2020,1:11:42 AM,67,Saturday,Morning
12/5/2020,1:11:42 AM,48,Saturday,Morning
12/5/2020,1:11:42 AM,56,Saturday,Morning
12/5/2020,1:11:42 AM,47,Saturday,Morning
12/5/2020,5:50:23 PM,58,Saturday,Afternoon
12/5/2020,5:50:23 PM,66,Saturday,Afternoon
12/5/2020,5:50:23 PM,63,Saturday,Afternoon
12/5/2020,5:50:23 PM,47,Saturday,Afternoon
12/5/2020,5:50:23 PM,50,Saturday,Afternoon
12/5/2020,5:50:23 PM,49,Saturday,Afternoon
12/5/2020,5:50:23 PM,55,Saturday,Afternoon
12/5/2020,5:50:23 PM,58,Saturday,Afternoon
12/5/2020,5:50:23 PM,62,Saturday,Afternoon
12/5/2020,5:50:23 PM,74,Saturday,Afternoon
12/6/2020,2:06:08 AM,58,Sunday,Morning
12/6/2020,2:06:08 AM,54,Sunday,Morning
12/6/2020,2:06:08 AM,69,Sunday,Morning
12/6/2020,2:06:08 AM,67,Sunday,Morning
12/6/2020,2:06:08 AM,67,Sunday,Morning
12/6/2020,2:06:08 AM,67,Sunday,Morning
12/6/2020,2:06:08 AM,60,Sunday,Morning
12/6/2020,2:06:08 AM,68,Sunday,Morning
12/6/2020,2:06:08 AM,64,Sunday,Morning
12/6/2020,2:06:08 AM,63,Sunday,Morning
12/6/2020,2:06:08 AM,61,Sunday,Morning
12/6/2020,2:06:08 AM,67,Sunday,Morning
12/6/2020,2:06:08 AM,64,Sunday,Morning
12/6/2020,2:06:08 AM,51,Sunday,Morning
12/6/2020,2:06:08 AM,69,Sunday,Morning
12/6/2020,2:06:08 AM,67,Sunday,Morning
12/6/2020,2:06:08 AM,73,Sunday,Morning
12/6/2020,2:06:08 AM,63,Sunday,Morning
12/6/2020,2:06:08 AM,55,Sunday,Morning
12/7/2020,12:11:10 AM,61,Monday,Morning
12/7/2020,12:11:10 AM,67,Monday,Morning
12/7/2020,12:11:10 AM,61,Monday,Morning
12/7/2020,12:11:10 AM,60,Monday,Morning
12/7/2020,12:11:10 AM,61,Monday,Morning
12/7/2020,12:11:10 AM,64,Monday,Morning
12/7/2020,12:11:10 AM,62,Monday,Morning
12/9/2020,12:07:25 AM,66,Wednesday,Morning
12/9/2020,12:07:25 AM,48,Wednesday,Morning
12/9/2020,12:07:25 AM,55,Wednesday,Morning
12/9/2020,12:07:25 AM,70,Wednesday,Morning
12/9/2020,12:07:25 AM,67,Wednesday,Morning
12/9/2020,12:07:25 AM,44,Wednesday,Morning
12/9/2020,12:07:25 AM,47,Wednesday,Morning
12/9/2020,12:07:25 AM,71,Wednesday,Morning
12/9/2020,12:07:25 AM,52,Wednesday,Morning
12/9/2020,12:07:25 AM,59,Wednesday,Morning
12/9/2020,12:07:25 AM,55,Wednesday,Morning
12/9/2020,12:07:25 AM,48,Wednesday,Morning
12/9/2020,12:07:25 AM,73,Wednesday,Morning
12/9/2020,12:07:25 AM,73,Wednesday,Morning
12/9/2020,12:07:25 AM,70,Wednesday,Morning
12/9/2020,12:07:25 AM,68,Wednesday,Morning
12/9/2020,12:07:25 AM,58,Wednesday,Morning
12/9/2020,12:07:25 AM,54,Wednesday,Morning
12/9/2020,12:07:25 AM,58,Wednesday,Morning
12/9/2020,12:07:25 AM,60,Wednesday,Morning
12/9/2020,12:07:25 AM,66,Wednesday,Morning
12/9/2020,12:07:25 AM,59,Wednesday,Morning
12/9/2020,12:07:25 AM,53,Wednesday,Morning
12/9/2020,12:07:25 AM,56,Wednesday,Morning
12/9/2020,12:07:25 AM,54,Wednesday,Morning
12/9/2020,12:07:25 AM,49,Wednesday,Morning
12/9/2020,12:07:25 AM,47,Wednesday,Morning
12/9/2020,12:07:25 AM,47,Wednesday,Morning
12/9/2020,12:07:25 AM,46,Wednesday,Morning
12/9/2020,12:07:25 AM,46,Wednesday,Morning
12/9/2020,12:07:25 AM,52,Wednesday,Morning
12/9/2020,12:07:25 AM,46,Wednesday,Morning
12/9/2020,12:07:25 AM,44,Wednesday,Morning
12/9/2020,12:07:25 AM,49,Wednesday,Morning
12/9/2020,12:07:25 AM,57,Wednesday,Morning
12/9/2020,12:07:25 AM,50,Wednesday,Morning
12/9/2020,12:07:25 AM,63,Wednesday,Morning
12/9/2020,12:07:25 AM,56,Wednesday,Morning
12/9/2020,12:07:25 AM,58,Wednesday,Morning
12/9/2020,12:07:25 AM,64,Wednesday,Morning
12/9/2020,12:07:25 AM,75,Wednesday,Morning
12/9/2020,12:07:25 AM,61,Wednesday,Morning
12/9/2020,12:07:25 AM,49,Wednesday,Morning
12/9/2020,12:07:25 AM,55,Wednesday,Morning
12/9/2020,12:07:25 AM,58,Wednesday,Morning
12/9/2020,12:07:25 AM,52,Wednesday,Morning
12/9/2020,12:07:25 AM,50,Wednesday,Morning
12/9/2020,12:07:25 AM,58,Wednesday,Morning
12/9/2020,12:07:25 AM,62,Wednesday,Morning
12/9/2020,12:07:25 AM,54,Wednesday,Morning
12/9/2020,12:07:25 AM,54,Wednesday,Morning
12/9/2020,12:07:25 AM,79,Wednesday,Morning
12/9/2020,12:07:25 AM,73,Wednesday,Morning
